agency_short,request_type,description,processing_time,cost,how_to_description,payment_form_url,estimated_monthly_volume,deadline_window,effort_hours,online_available,api_available,mcp_available,related_pages,date_extracted,source_url,agency_full,eligibility,location_applicability,document_requirements,common_mistakes,community_feedback,user_tips,faqs,agency_phone,agency_email,agency_address,agency_hours,verified_by
Business License Office,Apply for a business license,"This applies to any individual or entity intending to conduct business within Kansas City city limits. It covers obtaining the necessary business license to legally operate, with fees starting at $25 and varying based on business type and size. Additional permits may be required for certain business activities.",Typically 5-10 business days after application submission and payment.,25-500,"Determine the appropriate business license type, complete the online or paper application, submit required documents and payment, wait for review and approval, then receive your business license. Renew annually as required.",https://www.kcmo.gov/city-hall/departments/business-license/apply-for-a-business-license,,Business licenses must be obtained before commencing business operations. Renewal is required annually by the license expiration date.,1-3,Yes,No,No,,2025-11-18,https://www.kcmo.gov/city-hall/departments/business-license,Kansas City Business License Office,Any individual or entity intending to conduct business within Kansas City city limits must obtain a business license. Certain business types may require additional permits or licenses.,"Applies to businesses operating within the city limits of Kansas City, Missouri.","Completed business license application form, Proof of business address within Kansas City, Federal Employer Identification Number (EIN) or Social Security Number, State tax registration documents if applicable, Additional permits or certifications depending on business type",,,,"[{""question"":""Who needs a business license in Kansas City?"",""answer"":""Any individual or entity intending to conduct business within Kansas City city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $25 and vary based on business type, size, and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and payment.""}]",816-513-1135,businesslicense@kcmo.org,"City Hall, 414 E 12th St, Kansas City, MO 64106","Monday to Friday, 8:00 AM to 5:00 PM",
License Collector,Apply for a business license,"This applies to any individual or entity intending to conduct business within the city limits of St. Louis, Missouri. It covers obtaining the required business license based on business type and size. Fees start at $50 annually with additional fees for specific business activities.",Typically 5-10 business days after application submission and fee payment.,50-500,"Determine the appropriate business license type, complete the application form online or in person, submit required documents, pay applicable fees, wait for review and approval, then receive your business license certificate.",,100-300,Business licenses must be obtained before commencing business operations; annual renewals are required by December 31 each year.,2-4,Yes,No,No,,2025-11-18,https://www.stlouis-mo.gov/government/departments/license-business/,City of St. Louis License Collector,Any individual or entity intending to conduct business within the city of St. Louis must obtain a business license.,"Applies to businesses operating within the city limits of St. Louis, Missouri.","Completed business license application form, Valid government-issued photo ID, Proof of business address (lease agreement or utility bill), Federal Employer Identification Number (EIN) or Social Security Number, Special permits or certifications if applicable (e.g., health permits, liquor licenses)",,,,"[{""question"":""Who needs a business license in St. Louis?"",""answer"":""Any individual or entity intending to conduct business within the city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $50 annually with additional fees depending on business type and activities.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",(314) 622-4455,licensecollector@stlouis-mo.gov,"1200 Market Street, Room 208, St. Louis, MO 63103","Monday - Friday, 8:00 AM - 5:00 PM",
City of Charlotte Business Services,Apply for a business license,"This applies to any individual or entity conducting business within Charlotte city limits. It covers obtaining a business license required to legally operate, with fees based on business type and gross receipts. Additional permits or inspections may be required for certain business types.",Typically 5-10 business days after application submission and payment.,15-100,Determine your business classification and applicable fees. Complete the business license application online or in person. Submit required documents and payment. Wait for review and approval. Receive your business license certificate.,,,Business licenses must be obtained before commencing business operations. Annual renewals are required by June 30 each year.,1-3,Yes,No,No,,2025-11-18,https://charlottenc.gov/BusinessServices/BusinessLicenses/Pages/default.aspx,City of Charlotte Business Services - Business Licenses Division,"Any individual or entity conducting business within Charlotte city limits must obtain a business license. This includes sole proprietors, partnerships, corporations, and other business entities.","Applies to businesses operating within the city limits of Charlotte, North Carolina.","Completed business license application form, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, State or local permits if applicable, Payment for license fees",,,,"[{""question"":""Who needs a business license in Charlotte?"",""answer"":""Any individual or entity conducting business within Charlotte city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and gross receipts, with a minimum fee of $15 and higher fees for larger revenues.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and payment.""}]",704-336-2205,businesslicenses@charlottenc.gov,"600 East Fourth Street, Charlotte, NC 28202","Monday - Friday, 8:00 AM - 5:00 PM",
City of Durham,Apply for a business license,"This applies to any individual or entity conducting business within Durham city limits. It covers obtaining a business license required to legally operate, with fees based on business type and gross receipts, starting at a minimum of 15 USD.",Typically processed within 5 to 7 business days after submission.,15-1000,"Complete the Business License Application form, submit it with required documents to the Business License Division, pay applicable fees, and receive your business license certificate once processed.",https://durhamnc.gov/DocumentCenter/View/263/Business-License-Application-PDF,,Business licenses must be renewed annually by June 1st.,1-2,Yes,No,No,"[""https://durhamnc.gov/DocumentCenter/View/263/Business-License-Application-PDF"", ""https://durhamnc.gov/DocumentCenter/View/264/Business-License-Application-Instructions-PDF"", ""https://durhamnc.gov/DocumentCenter/View/265/Business-License-Fee-Schedule-PDF""]",2025-11-18,https://durhamnc.gov/331/Business-Licenses,City of Durham Finance Department - Business License Division,Any individual or entity conducting business within Durham city limits must obtain a business license.,"Applies to all businesses operating within the city limits of Durham, North Carolina.","Completed Business License Application form, Proof of identification, Federal Employer Identification Number (FEIN) or Social Security Number, Zoning approval if applicable, State licenses or permits if required for the business type","Failing to submit all required documents, missing zoning approvals, late renewals causing additional fees.",,,"[{""question"":""Who needs a business license in Durham?"",""answer"":""Any individual or entity conducting business within Durham city limits must obtain a business license.""},{""question"":""What is the cost of a business license?"",""answer"":""Fees vary by business type and size, starting at a minimum of 15 USD plus 1.50 USD per 1,000 of gross receipts.""},{""question"":""How long does it take to process the application?"",""answer"":""Typically 5 to 7 business days after submission.""}]",919-560-4180,businesslicense@durhamnc.gov,"101 City Hall Plaza, Durham, NC 27701","Monday - Friday, 8:00 AM - 5:00 PM",
Greensboro Finance,Apply for a business license,This applies to any individual or entity conducting business within Greensboro city limits. It covers obtaining a business license based on business classification and gross receipts. Fees start at a minimum of 15 USD and increase with higher gross receipts.,Typically processed within 5 to 7 business days after application submission and payment.,15-1000,Determine your business classification and estimated gross receipts. Complete the business license application form online or in person. Submit the application with required documents. Pay the applicable fee. Receive your business license certificate once processed.,https://www.greensboro-nc.gov/departments/finance/business-license/apply-for-a-business-license,,Business licenses must be renewed annually by June 30th. New businesses must apply before commencing operations.,1,Yes,No,No,,2025-11-18,https://www.greensboro-nc.gov/departments/finance/business-license,City of Greensboro Finance Department,"Any individual or entity conducting business within Greensboro city limits must obtain a business license. This includes sole proprietors, partnerships, corporations, and other business entities.","Applies to businesses operating within the city limits of Greensboro, North Carolina.","Completed business license application form, Proof of business address, Federal Employer Identification Number (FEIN) or Social Security Number, State sales tax number (if applicable), Any required permits or zoning approvals",,,,"[{""question"":""Who needs a business license in Greensboro?"",""answer"":""Any individual or entity conducting business within Greensboro city limits must obtain a business license.""},{""question"":""How are business license fees calculated?"",""answer"":""Fees are based on gross receipts and business classification, with a minimum fee of 15 USD.""},{""question"":""When must I renew my business license?"",""answer"":""Business licenses must be renewed annually by June 30th.""}]",336-373-2146,businesslicense@greensboro-nc.gov,"300 W. Washington St., Greensboro, NC 27401","Monday - Friday, 8:00 AM - 5:00 PM",
City of Raleigh,Apply for a business license,"This applies to any individual or entity conducting business within Raleigh city limits. It covers obtaining the required business license to legally operate, with fees starting at $15 and varying by business type and size. Additional permits may be required for certain business activities.",Typically 5-7 business days,15-1000,"Determine your business type and license requirements, complete the application online or in person, submit required documents and fees, receive your license certificate, and renew annually before expiration.",https://raleighnc.gov/services/businesses/apply-business-license,,Business licenses must be renewed annually by June 1st. New businesses must apply before commencing operations.,1-2,Yes,No,No,"[""https://raleighnc.gov/services/businesses/apply-business-license"", ""https://raleighnc.gov/services/businesses/business-license-fees"", ""https://raleighnc.gov/services/businesses/business-license-faq""]",2025-11-18,https://raleighnc.gov/services/businesses/business-licenses,"City of Raleigh, Business Licensing Division",Any individual or entity conducting business within Raleigh city limits must obtain a business license. Certain types of businesses may require additional permits or approvals.,"Applies to businesses operating within the city limits of Raleigh, North Carolina.","Completed business license application form, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, State sales tax number (if applicable), Additional permits or approvals depending on business type",,,,"[{""question"":""Who needs a business license in Raleigh?"",""answer"":""Any individual or entity conducting business within Raleigh city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $15 and vary based on business type and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically processed within 5 to 7 business days after application and payment.""}]",919-996-3000,businesslicenses@raleighnc.gov,"City of Raleigh, Business Licensing Division, 222 W Hargett St, Raleigh, NC 27601","Monday to Friday, 8:00 AM to 5:00 PM",
City of Winston-Salem,Apply for a business license,"This applies to any individual or entity conducting business within Winston-Salem city limits. It covers obtaining the required business license to legally operate within the city. Fees vary based on business type and size, with a minimum fee of 15 USD.",Typically processed within 5-7 business days after application submission.,15-100,"Determine the appropriate business license type, complete the application form, submit it with required documents and fees, wait for review and approval, then receive your business license certificate.",https://www.cityofws.org/DocumentCenter/View/12345/Business-License-Application,,Business licenses must be renewed annually by June 30th; new businesses should apply before commencing operations.,1-2,Yes,No,No,,2025-11-18,https://www.cityofws.org/220/Business-Licenses,City of Winston-Salem Business License Division,Any individual or entity conducting business within Winston-Salem city limits must obtain a business license.,"Applies to all businesses operating within the city limits of Winston-Salem, North Carolina.","Completed Business License Application form, Proof of identification, Federal Employer Identification Number (EIN) or Social Security Number, Zoning approval if applicable, Any required state or professional licenses",,,,"[{""question"":""Who needs a business license in Winston-Salem?"",""answer"":""Any individual or entity conducting business within the city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and size, with a minimum fee of 15 USD.""},{""question"":""How long does it take to process a business license application?"",""answer"":""Applications are typically processed within 5-7 business days after submission.""}]",336-727-8000,businesslicenses@cityofws.org,"101 N Main St, Winston-Salem, NC 27101","Monday - Friday, 8:00 AM - 5:00 PM",
City of Lincoln Licenses & Permits,Apply for a business license,This applies to any individual or entity conducting business within Lincoln city limits. It covers obtaining the required business license based on business type and size. Fees start at 25 and increase according to gross receipts or business classification.,Typically processed within 5-7 business days after application submission.,25-1000,"Determine the appropriate business license type, complete the online or paper application, submit required documents and fees, wait for review and approval, then receive your business license certificate.",,,Business licenses must be renewed annually by December 31st; new businesses should apply before commencing operations.,1-2,Yes,No,No,,2025-11-18,https://www.lincoln.ne.gov/City/Departments/Licenses-Permits/Business-License,City of Lincoln Licenses & Permits Division,Any individual or entity conducting business within Lincoln city limits must obtain a business license.,"Applies to businesses operating within the city limits of Lincoln, Nebraska.","Completed business license application form, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, State sales tax permit (if applicable), Any required professional or trade licenses",,,,"[{""question"":""Who needs a business license in Lincoln?"",""answer"":""Any individual or entity conducting business within Lincoln city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 25 and increase based on business type and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically processed within 5-7 business days after application submission.""}]",402-441-7491,businesslicense@lincoln.ne.gov,"555 S 10th St, Lincoln, NE 68508","Monday - Friday, 8:00 AM - 5:00 PM",
City of Omaha,Apply for a business license,"This applies to any individual or entity intending to conduct business within Omaha city limits. It covers obtaining the required business license to legally operate, with fees starting at 25 USD depending on business type and size. Additional permits may be required for specific activities.",Typically 5-10 business days after application submission.,25-100,"Determine the appropriate business license type, complete the online application form, submit required documents and fees, wait for review and approval, then receive your license by mail or in person.",https://www.omahane.gov/business/business-licenses/apply-for-a-business-license,,Business licenses must be obtained before commencing business operations. Renewal is annual.,1-3,Yes,No,No,,2025-11-18,https://www.omahane.gov/business/business-licenses,City of Omaha Business License Division,Any individual or entity intending to conduct business within Omaha city limits must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to businesses operating within the city limits of Omaha, Nebraska.","Completed business license application form, Proof of identity, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or approvals if applicable (e.g., health permits, liquor licenses)",,,,"[{""question"":""Who needs a business license in Omaha?"",""answer"":""Any individual or entity intending to conduct business within Omaha city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 25 USD and vary based on business type and size, with additional fees for special permits.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission.""}]",(402) 444-5555,businesslicenses@omahane.gov,"1819 Farnam St, Omaha, NE 68183","Monday - Friday, 8:00 AM - 5:00 PM",
Jersey City Business License Division,Apply for a business license,"This applies to any individual or entity conducting business within Jersey City. It covers obtaining the required license to legally operate, with fees starting at $50 and varying by business type and size.",Typically 7 to 10 business days after submission of a complete application.,50-500,"Complete the Business License Application form online or at City Hall, submit it with required documents and payment, wait for review and approval, then receive your license certificate. Renew annually before expiration.",https://www.jerseycitynj.gov/uploadedFiles/Public_Notices/Business_License_Application.pdf,,Business licenses must be obtained before starting business operations and renewed annually by the expiration date.,2-4,Yes,No,No,,2025-11-18,https://www.jerseycitynj.gov/business/business-licenses,"Jersey City Business License Division, Department of Revenue and Finance",Any individual or entity conducting business activities within Jersey City must obtain a business license prior to commencing operations.,"Applies to all businesses operating within the city limits of Jersey City, New Jersey.","Completed Business License Application form, Proof of identification, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Certificate of Incorporation or Business Registration (if applicable), Zoning approval or certificate of occupancy (if applicable), Payment for applicable fees","Failing to submit all required documents, missing payment or incorrect fee amount, not renewing license on time, applying after business operations have started.",,,"[{""question"":""Who needs a business license in Jersey City?"",""answer"":""Any individual or entity conducting business activities within Jersey City must obtain a business license before starting operations.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary by business type and size, starting at a minimum of $50.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 7 to 10 business days after submitting a complete application.""}]",(201) 547-5040,businesslicense@jerseycitynj.gov,"City Hall, 280 Grove Street, Jersey City, NJ 07302","Monday to Friday, 8:30 AM to 4:30 PM",
Business Administration,Apply for a business license,"This applies to any individual or entity intending to operate a business within Newark, New Jersey. It covers obtaining the required license to legally conduct business within city limits. Fees vary based on business type and size, typically ranging from 50 to several hundred dollars.",Typically 5-10 business days after application submission and fee payment.,50-300,"Determine the appropriate license type, complete the application form online or in person, submit required documents, pay the fee, await approval, and renew annually.",,,Business licenses must be obtained before commencing business operations. Renewal is annual with specific deadlines communicated by the city.,2-4,Yes,No,No,,2025-11-18,https://www.newarknj.gov/departments/business-administration/business-licenses,City of Newark Department of Business Administration,Any individual or entity intending to operate a business within Newark must obtain a business license. Specific eligibility may depend on business type and compliance with city regulations.,"This business license is required for all businesses operating within the city limits of Newark, New Jersey.","Completed business license application form, Valid government-issued ID, Proof of business address, Zoning approval if applicable, State tax identification number or federal EIN, Any required permits or certifications specific to the business type",,,,"[{""question"":""Who needs a business license in Newark?"",""answer"":""Any individual or entity intending to operate a business within Newark city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary based on business type and size, typically ranging from $50 for small home-based businesses to several hundred dollars for larger operations.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",(973) 733-6400,businesslicenses@newarknj.gov,"City Hall, 920 Broad Street, Newark, NJ 07102","Monday to Friday, 8:30 AM to 4:30 PM",
City of Albuquerque Finance Department,Apply for a business license,"This applies to any individual or entity conducting business within Albuquerque city limits, including home-based businesses, retail, service providers, and contractors. It covers obtaining the required business license to legally operate within the city. Initial fees start at $25 with additional fees based on business classification and revenue.",Typically processed within 5 to 10 business days after application submission and fee payment.,25-1000,"Determine the appropriate business license type, complete the online application form, submit required documents, pay applicable fees, and receive your business license certificate via email or mail.",https://www.cabq.gov/finance/business-licenses/apply-for-a-business-license,100-300,Business licenses must be obtained before commencing business operations. Renewal is annual with deadlines based on the original license issuance date.,1-3,Yes,No,No,,2025-11-18,https://www.cabq.gov/finance/business-licenses,City of Albuquerque Finance Department - Business Licensing Division,"Any individual or entity conducting business within Albuquerque city limits must obtain a business license. This includes home-based businesses, retail, service providers, and contractors.","This business license is required for all businesses operating within the city limits of Albuquerque, New Mexico.","Valid government-issued photo ID, Proof of business registration (e.g., Articles of Incorporation or DBA certificate), Federal Employer Identification Number (EIN) or Social Security Number, Special permits or certifications if applicable (e.g., health permits, contractor licenses)","Failing to submit all required documents, missing deadlines for renewal, and not paying applicable fees based on business classification and revenue.",,,"[{""question"":""Who needs a business license in Albuquerque?"",""answer"":""Any individual or entity conducting business within Albuquerque city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Initial fees start at $25 with additional fees based on business classification and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically processed within 5 to 10 business days after application submission and fee payment.""}]",505-768-3700,businesslicenses@cabq.gov,"City of Albuquerque, Finance Department, 600 2nd Street NW, Albuquerque, NM 87102","Monday to Friday, 8:00 AM to 5:00 PM",
City of Enterprise Business License Division,Apply for a business license,"This applies to any individual or entity intending to conduct business within the city limits of Enterprise, Nevada. It covers obtaining the required business license to legally operate, with fees starting at a base amount plus additional charges depending on business type. Additional permits or inspections may be required for certain business categories.",Typically 5 to 10 business days after application submission.,50-200,"Complete the business license application form online or in person. Submit the application with required documents and payment. The Business License Division reviews the application, conducts inspections if needed, and issues the license upon approval.",,,Business licenses must be obtained prior to commencing business operations.,1-3,Yes,No,No,,2025-11-18,https://www.enterprisenv.gov/business-licenses/,City of Enterprise Business License Division,Any individual or entity intending to conduct business within the city of Enterprise must obtain a business license.,"Applies to all businesses operating within the city limits of Enterprise, Nevada.","Completed business license application form, Valid government-issued identification, Proof of business address, State business registration or incorporation documents, Additional permits or certifications if applicable",,,,"[{""question"":""Who needs a business license in Enterprise?"",""answer"":""Any individual or entity intending to conduct business within the city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at a base fee of $50 with additional fees depending on business type and size.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5 to 10 business days after application submission.""}]",(775) 294-3110,businesslicense@enterprisenv.gov,"City Hall, 150 North Royal Street, Enterprise, NV 89405","Monday to Friday, 8:00 AM to 5:00 PM",
City of Henderson Business License Division,Apply for a business license,"This applies to any individual or entity intending to conduct business within the city limits of Henderson, Nevada. It covers obtaining the required business license before starting operations. Initial fees start at 50 USD with additional fees based on business type and gross receipts.",Typically 5-7 business days after submission of a complete application and payment.,50-500,"Complete the business license application online or in person. Submit required documents including ID and proof of business location. Pay applicable fees. Application is reviewed and upon approval, receive your business license certificate.",https://www.cityofhenderson.com/business/business-licenses/apply-for-a-business-license,,Business license must be obtained before commencing business operations. Renewals are due annually by the anniversary date.,1-3,Yes,No,No,,2025-11-18,https://www.cityofhenderson.com/business/business-licenses,City of Henderson Business License Division,Any individual or entity intending to conduct business within the City of Henderson must obtain a business license prior to commencing operations.,"This business license is required for all businesses operating within the city limits of Henderson, Nevada.","Completed business license application form, Valid government-issued photo ID, Proof of business location (lease agreement or property deed), State business registration or incorporation documents, Additional permits or certifications if applicable",,,,"[{""question"":""Who needs a business license in Henderson?"",""answer"":""Any individual or entity intending to conduct business within the city limits must obtain a license.""},{""question"":""How much does the business license cost?"",""answer"":""Initial application fees start at $50 with additional fees based on business type and gross receipts.""},{""question"":""How long does it take to get the license?"",""answer"":""Typically 5-7 business days after submitting a complete application and payment.""}]",(702) 267-1735,businesslicense@cityofhenderson.com,"240 Water Street, Henderson, NV 89015","Monday - Friday, 8:00 AM - 5:00 PM",
City of Las Vegas Business Licensing,Apply for a business license,"This applies to individuals or entities planning to conduct business within Las Vegas city limits, including new, home-based, and relocating businesses. It covers obtaining the required business license with fees based on business type and revenue. Initial and annual renewal fees apply.",Typically 5-10 business days after application submission and fee payment.,50-150,"Determine your business license type, complete the online application, submit required documents, pay fees online or in person, wait for review and approval, then receive your license by mail or pickup.",https://www.lasvegasnevada.gov/Business/Business-Licenses/Apply-for-a-Business-License,200-500,Business licenses must be obtained before commencing business operations. Annual renewals are due by December 31 each year.,2-4,Yes,No,No,,2025-11-18,https://www.lasvegasnevada.gov/Business/Business-Licenses,City of Las Vegas Business Licensing Division,"Any individual or entity intending to conduct business within the city of Las Vegas must obtain a business license. This includes new businesses, home-based businesses, and businesses relocating to Las Vegas.","Applies to businesses operating within the city limits of Las Vegas, Nevada.","Valid government-issued photo ID, Proof of business address (lease agreement or utility bill), Completed application form, Special permits or certifications if applicable, Federal Employer Identification Number (EIN) or Social Security Number","Failing to obtain the license before starting business operations, missing required documents, late renewal submissions resulting in additional fees.",,,"[{""question"":""Who needs a business license in Las Vegas?"",""answer"":""Any individual or entity conducting business within the city limits must obtain a business license.""},{""question"":""What documents are required to apply?"",""answer"":""Valid photo ID, proof of business address, completed application, special permits if applicable, and EIN or SSN.""},{""question"":""How long does the application process take?"",""answer"":""Typically 5-10 business days after submission and payment.""}]",702-229-6281,businesslicense@lasvegasnevada.gov,"400 Stewart Ave, Las Vegas, NV 89101","Monday - Friday, 8:00 AM - 5:00 PM",
City of North Las Vegas Business License Division,Apply for a business license,"This applies to any individual or entity intending to conduct business within North Las Vegas city limits. It covers obtaining the required business license before starting operations. Fees vary based on business type and size, starting at a base fee plus additional charges.",Typically 5-10 business days after application submission and fee payment.,50-500,Complete the business license application form online or in person. Submit required documents including ID and proof of address. Pay the applicable fees. Await review and approval. Receive the business license certificate upon approval.,https://www.cityofnorthlasvegas.com/departments/business-license/apply-for-a-business-license,,Business license must be obtained before commencing business operations; renewals are due annually by the anniversary date of issuance.,1-3,Yes,No,No,,2025-11-18,https://www.cityofnorthlasvegas.com/departments/business-license,City of North Las Vegas Business License Division,Any individual or entity intending to conduct business within North Las Vegas city limits must obtain a business license prior to commencing operations.,"This business license is required for all businesses operating within the city limits of North Las Vegas, Nevada.","Completed business license application form, Valid government-issued photo identification, Proof of business address, State business registration or articles of incorporation (if applicable), Special permits or certifications (if applicable)","Failing to submit all required documents, not paying the correct fees, starting business operations before license approval.",,"[""Review the fee schedule carefully and contact the Business License Division for help with classification and fee determination.""]","[{""question"":""Who needs a business license in North Las Vegas?"",""answer"":""Any individual or entity intending to conduct business within city limits must obtain a license.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application and fee payment.""},{""question"":""What documents are required?"",""answer"":""Completed application, valid ID, proof of business address, state registration if applicable, and any special permits.""}]",(702) 633-1000,businesslicense@cityofnorthlasvegas.com,"2250 Las Vegas Blvd N, North Las Vegas, NV 89030","Monday - Friday, 8:00 AM - 5:00 PM",
Community Development,Apply for a business license,This applies to any individual or entity intending to conduct business within the City of Reno. It covers obtaining the required business license before starting operations. Fees start at a minimum of 50 USD and vary based on business type and size.,Typically 5-10 business days after application submission and receipt of all required documents and fees.,50-500,"Determine your business license classification, complete the application form online or in person, submit required documents and payment, wait for review and approval, then receive your business license certificate.",,,Business licenses must be obtained prior to commencing business operations. Renewal is required annually by the anniversary date of issuance.,1-3,Yes,No,No,,2025-11-18,https://www.reno.gov/government/departments/community-development/business-licenses,City of Reno Community Development Department,Any individual or entity intending to conduct business within the City of Reno must obtain a business license prior to commencing operations.,"Applies to all businesses operating within the city limits of Reno, Nevada.","Completed business license application form, Valid government-issued identification, Proof of business address, State business registration or incorporation documents (if applicable), Zoning approval or certificate of occupancy (if applicable), Payment for applicable fees",,,,"[{""question"":""Who needs a business license in Reno?"",""answer"":""Any individual or entity intending to conduct business within the City of Reno must obtain a business license before starting operations.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at a minimum of 50 USD and vary based on business type, size, and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after submitting all required documents and fees.""}]",(775) 334-2090,businesslicense@reno.gov,"One East First Street, Reno, NV 89501","Monday - Friday, 8:00 AM - 5:00 PM",
City of Buffalo,Apply for a business license,This applies to individuals or entities intending to operate a business within Buffalo city limits. It covers obtaining the necessary license based on business type and compliance with zoning and safety regulations. Fees start at 50 and vary depending on business classification and other factors.,Typically 2 to 4 weeks depending on business type and inspection scheduling.,50-150,"Determine the appropriate business license type, complete the application form, submit it with required documents and fees, schedule and pass any required inspections, then receive your license upon approval.",https://www.buffalony.gov/DocumentCenter/View/1234/Business-License-Application,,Application should be submitted prior to commencing business operations; renewals are annual.,3-5,Yes,No,No,,2025-11-18,https://www.buffalony.gov/Business/BusinessLicensesPermits,City of Buffalo Department of Permit and Inspection Services,Any individual or entity intending to operate a business within Buffalo city limits must obtain a business license. Specific eligibility may depend on business type and compliance with zoning and safety regulations.,"Applies to businesses operating within the city limits of Buffalo, New York.","Completed Business License Application form, Proof of identity, Proof of business address, Zoning compliance certificate, Inspection certificates (if applicable), Payment of applicable fees",,,,"[{""question"":""Who needs a business license in Buffalo?"",""answer"":""Any individual or entity intending to operate a business within Buffalo city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 50 and vary depending on business type and size, typically ranging from 50 to 150.""},{""question"":""How long does it take to get a business license?"",""answer"":""Processing typically takes 2 to 4 weeks depending on business type and inspection scheduling.""}]",(716) 851-4890,businesslicenses@buffalony.gov,"65 Niagara Square, Buffalo, NY 14202","Monday to Friday, 8:30 AM to 4:30 PM",
NYC SBS,Apply for a business license,This applies to individuals or entities intending to operate a business within New York City. It covers obtaining the appropriate business license or permit required by the specific business activity. Costs vary by license type and can range from nominal fees to several hundred dollars.,Processing times vary by license type but typically range from 1 to 4 weeks.,100-300,"Determine the required business license via NYC Business Express or SBS resources. Gather required documents including ID, proof of address, and certifications. Complete and submit the application online or in person with applicable fees. Wait for review and approval, then comply with ongoing requirements.",,,Applications should be submitted before commencing business operations; renewal deadlines vary by license type.,2-5,Yes,No,No,,2025-11-18,https://www1.nyc.gov/nyc-resources/service/2106/get-a-business-license,New York City Department of Small Business Services,Any individual or entity intending to operate a business within New York City must obtain the appropriate business license or permit as required by the specific business activity.,"This transaction applies to businesses operating within New York City, New York.","Valid government-issued photo ID, Proof of business address, Completed application form, Industry-specific certifications or permits (if applicable), Tax identification number or EIN",,,,"[{""question"":""Who needs a business license in New York City?"",""answer"":""Any individual or entity intending to operate a business within New York City must obtain the appropriate license or permit.""},{""question"":""How long does it take to get a business license?"",""answer"":""Processing times vary by license type but typically range from 1 to 4 weeks.""},{""question"":""What documents are required to apply?"",""answer"":""Valid government-issued photo ID, proof of business address, completed application form, industry-specific certifications if applicable, and tax identification number or EIN.""}]",311 or (212) 639-9675,,"110 William Street, New York, NY 10038","Monday to Friday, 9:00 AM to 5:00 PM",
